id,Name,sign,net,age
1,Calvin Harris,https://img.customon.com/design/600/600/0a0909/34986/f74e967ae24347f543444feac546fdb1.png.jpg,190,34
2,Tiesto,https://qph.fs.quoracdn.net/main-qimg-de38ae14d3835f422b18bed8249c86c9-c,150,49
3,Swedish House Mafia,https://i.pinimg.com/originals/c7/19/ad/c719ad46c08c18115d32f3c9408a7716.jpg,100,37
4,Avicii,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Avicii_-_Logo.png/320px-Avicii_-_Logo.png,85,28
5,David Guetta,http://press.wearebigbeat.com/wp-content/uploads/2017/03/David-Guetta_Logo_2017-1.jpg,75,50
6,Steve Aoki,https://t7.rbxcdn.com/f7418195a30abf900df5213bff7c4c8a,75,40
7,Afrojack,https://cdn.designcrowd.com/blog/22-Logo-Designs-from-the-Worlds-Most-Popular-DJs/afrojack-logo-design.jpg,60,30
8,Armin Van Buuren,https://fontmeme.com/images/Armin-van-Buuren-Logo-1.jpg,55,41
9,Deadmau5,https://i.kym-cdn.com/photos/images/original/000/853/376/984.jpg,53,37
10,Kaskade,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/052014/untitled-1_26.png?itok=qkwHPPMO,50,47
11,Skrillex,https://i.pinimg.com/originals/b7/74/6c/b7746cf5fb8d52ed7d2bc14ffd8b22ad.jpg,45,30
12,Zedd,https://cdn.logojoy.com/wp-content/uploads/2017/07/zedd-logo.png,35,28
13,Alesso,https://i.pinimg.com/originals/2a/4e/f6/2a4ef6f4e01e19facd2088fddcfc2f9e.png,30,27
14,Axwell,http://cdn-img.easylogo.cn/gif/157/157324.gif,30,50
15,Diplo,http://1.bp.blogspot.com/-b--gXO7tKTA/Uu-47R46CMI/AAAAAAAAATU/U_Z7a2Q5ARc/s1600/DIPLO_logo.jpg,26,39
16,Hardwell,https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/da6a6425271253.55d1f3bf15128.jpg,23,30
17,Martin Garrix,"https://ih1.redbubble.net/image.435181951.6287/ap,550x550,12x16,1,transparent,t.u3.png",22,22
18,Marshmello ,"https://ih0.redbubble.net/image.503918011.6381/pp,550x550.u3.jpg",21,26
